2:24-0,guiyang,http://guiyang.cncn.com/jingdian/,24,贵阳
2:24-1,liupanshui,http://liupanshui.cncn.com/jingdian/,24,六盘水
2:24-2,zunyi,http://zunyi.cncn.com/jingdian/,24,遵义
2:24-3,anshun,http://anshun.cncn.com/jingdian/,24,安顺
2:22-7,suining,http://suining.cncn.com/jingdian/,22,遂宁
2:22-8,neijiang,http://neijiang.cncn.com/jingdian/,22,内江
2:22-9,leshan,http://leshan.cncn.com/jingdian/,22,乐山
2:24-4,tongren,http://tongren.cncn.com/jingdian/,24,铜仁
2:24-5,qianxinan,http://qianxinan.cncn.com/jingdian/,24,黔西南
2:24-6,bijie,http://bijie.cncn.com/jingdian/,24,毕节
2:24-7,qiandongnan,http://qiandongnan.cncn.com/jingdian/,24,黔东南
2:22-10,nanchong,http://nanchong.cncn.com/jingdian/,22,南充
2:22-11,meishan,http://meishan.cncn.com/jingdian/,22,眉山
2:22-12,yibin,http://yibin.cncn.com/jingdian/,22,宜宾
2:22-13,guangan,http://guangan.cncn.com/jingdian/,22,广安
2:24-8,qiannan,http://qiannan.cncn.com/jingdian/,24,黔南
2:24-9,anshun,http://anshun.cncn.com/jingdian/huangguoshu/,24,贵州黄果树大瀑布
2:22-14,dazhou,http://dazhou.cncn.com/jingdian/,22,达州
2:22-15,yaan,http://yaan.cncn.com/jingdian/,22,雅安
2:macao-0,hongkong,http://hongkong.cncn.com/jingdian/,macao,香港旅游景点
2:macao-1,taiwan,http://taiwan.cncn.com/jingdian/,macao,台湾旅游景点
2:macao-2,macao,http://macao.cncn.com/jingdian/,macao,澳门旅游景点
2:22-16,bazhong,http://bazhong.cncn.com/jingdian/,22,巴中
2:22-17,ziyang,http://ziyang.cncn.com/jingdian/,22,资阳
2:macao-3,hongkong,http://hongkong.cncn.com/jingdian/haiyanggongyuan/,macao,香港海洋公园
2:31-0,urumqi,http://urumqi.cncn.com/jingdian/,31,乌鲁木齐
2:31-1,karamay,http://karamay.cncn.com/jingdian/,31,克拉玛依
2:22-18,aba,http://aba.cncn.com/jingdian/,22,阿坝
2:22-19,ganzi,http://ganzi.cncn.com/jingdian/,22,甘孜
2:22-20,liangshan,http://liangshan.cncn.com/jingdian/,22,凉山
2:22-21,aba,http://aba.cncn.com/jingdian/jiuzhaigou/,22,四川九寨沟
2:31-2,tulufan,http://tulufan.cncn.com/jingdian/,31,吐鲁番
2:31-3,hami,http://hami.cncn.com/jingdian/,31,哈密
2:31-4,changji,http://changji.cncn.com/jingdian/,31,昌吉
2:31-5,bortala,http://bortala.cncn.com/jingdian/,31,博乐
2:31-6,bayingolin,http://bayingolin.cncn.com/jingdian/,31,库尔勒
2:31-7,akesu,http://akesu.cncn.com/jingdian/,31,阿克苏
2:31-8,kizilsukirgiz,http://kizilsukirgiz.cncn.com/jingdian/,31,阿图什
2:31-9,kashi,http://kashi.cncn.com/jingdian/,31,喀什
2:31-10,hetian,http://hetian.cncn.com/jingdian/,31,和田
2:31-11,yili,http://yili.cncn.com/jingdian/,31,伊犁
2:31-12,tacheng,http://tacheng.cncn.com/jingdian/,31,塔城
2:31-13,altay,http://altay.cncn.com/jingdian/,31,阿勒泰
2:31-14,shihezi,http://shihezi.cncn.com/jingdian/,31,石河子
2:31-15,alar,http://alar.cncn.com/jingdian/,31,阿拉尔
2:31-16,tumushuke,http://tumushuke.cncn.com/jingdian/,31,图木舒克
2:31-17,wujiaqu,http://wujiaqu.cncn.com/jingdian/,31,五家渠
2:31-18,altay,http://altay.cncn.com/jingdian/kanasi/,31,阿勒泰地区喀纳斯景区
2:26-0,lhasa,http://lhasa.cncn.com/jingdian/,26,拉萨
2:26-1,changdu,http://changdu.cncn.com/jingdian/,26,昌都
2:26-2,shannan,http://shannan.cncn.com/jingdian/,26,山南
2:25-0,kunming,http://kunming.cncn.com/jingdian/,25,昆明
2:25-1,qujing,http://qujing.cncn.com/jingdian/,25,曲靖
2:25-2,yuxi,http://yuxi.cncn.com/jingdian/,25,玉溪
2:25-3,baoshan,http://baoshan.cncn.com/jingdian/,25,保山
2:26-3,xigaze,http://xigaze.cncn.com/jingdian/,26,日喀则
2:26-4,nagqu,http://nagqu.cncn.com/jingdian/,26,那曲
2:26-5,ngari,http://ngari.cncn.com/jingdian/,26,阿里
2:26-6,nyingchi,http://nyingchi.cncn.com/jingdian/,26,林芝
2:25-4,zhaotong,http://zhaotong.cncn.com/jingdian/,25,昭通
2:25-5,lijiang,http://lijiang.cncn.com/jingdian/,25,丽江
2:25-6,puer,http://puer.cncn.com/jingdian/,25,普洱
2:26-7,lhasa,http://lhasa.cncn.com/jingdian/budalagong/,26,西藏拉萨布达拉宫
2:25-7,lincang,http://lincang.cncn.com/jingdian/,25,临沧
2:25-8,chuxiong,http://chuxiong.cncn.com/jingdian/,25,楚雄
2:28-0,lanzhou,http://lanzhou.cncn.com/jingdian/,28,兰州
2:28-1,jiayuguan,http://jiayuguan.cncn.com/jingdian/,28,嘉峪关
2:28-2,jinchang,http://jinchang.cncn.com/jingdian/,28,金昌
2:28-3,baiyin,http://baiyin.cncn.com/jingdian/,28,白银
2:25-9,honghe,http://honghe.cncn.com/jingdian/,25,红河
2:25-10,wenshan,http://wenshan.cncn.com/jingdian/,25,文山
2:28-4,tianshui,http://tianshui.cncn.com/jingdian/,28,天水
2:28-5,wuwei,http://wuwei.cncn.com/jingdian/,28,武威
2:28-6,zhangye,http://zhangye.cncn.com/jingdian/,28,张掖
2:28-7,pingliang,http://pingliang.cncn.com/jingdian/,28,平凉
2:25-11,xishuangbanna,http://xishuangbanna.cncn.com/jingdian/,25,西双版纳
2:25-12,dali,http://dali.cncn.com/jingdian/,25,大理
2:25-13,dehong,http://dehong.cncn.com/jingdian/,25,德宏
2:25-14,nujiang,http://nujiang.cncn.com/jingdian/,25,怒江
2:28-8,jiuquan,http://jiuquan.cncn.com/jingdian/,28,酒泉
2:28-9,qingyang,http://qingyang.cncn.com/jingdian/,28,庆阳
2:28-10,dingxi,http://dingxi.cncn.com/jingdian/,28,定西
2:28-11,longnan,http://longnan.cncn.com/jingdian/,28,陇南
2:27-0,xian,http://xian.cncn.com/jingdian/,27,西安
2:27-1,tongchuan,http://tongchuan.cncn.com/jingdian/,27,铜川
2:27-2,baoji,http://baoji.cncn.com/jingdian/,27,宝鸡
2:27-3,xianyang,http://xianyang.cncn.com/jingdian/,27,咸阳
2:25-15,diqing,http://diqing.cncn.com/jingdian/,25,迪庆
2:28-12,linxia,http://linxia.cncn.com/jingdian/,28,临夏
2:28-13,gannan,http://gannan.cncn.com/jingdian/,28,甘南
2:28-14,jiayuguan,http://jiayuguan.cncn.com/jingdian/jiayuguan/,28,嘉峪关市嘉峪关文物景区
2:27-4,weinan,http://weinan.cncn.com/jingdian/,27,渭南
2:27-5,yanan,http://yanan.cncn.com/jingdian/,27,延安
2:27-6,hanzhong,http://hanzhong.cncn.com/jingdian/,27,汉中
2:27-7,sxyulin,http://sxyulin.cncn.com/jingdian/,27,榆林
2:18-0,nanning,http://nanning.cncn.com/jingdian/,18,南宁
2:18-1,liuzhou,http://liuzhou.cncn.com/jingdian/,18,柳州
2:18-2,guilin,http://guilin.cncn.com/jingdian/,18,桂林
2:18-3,wuzhou,http://wuzhou.cncn.com/jingdian/,18,梧州
2:25-16,lijiang,http://lijiang.cncn.com/jingdian/luguhu/,25,丽江泸沽湖
2:27-8,ankang,http://ankang.cncn.com/jingdian/,27,安康
2:27-9,shangluo,http://shangluo.cncn.com/jingdian/,27,商洛
2:18-4,beihai,http://beihai.cncn.com/jingdian/,18,北海
2:18-5,fangchenggang,http://fangchenggang.cncn.com/jingdian/,18,防城港
2:18-6,qinzhou,http://qinzhou.cncn.com/jingdian/,18,钦州
2:18-7,guigang,http://guigang.cncn.com/jingdian/,18,贵港
2:27-10,xian,http://xian.cncn.com/jingdian/bingmayong/,27,秦始皇兵马俑
2:18-8,yulin,http://yulin.cncn.com/jingdian/,18,玉林
2:18-9,baise,http://baise.cncn.com/jingdian/,18,百色
2:18-10,hezhou,http://hezhou.cncn.com/jingdian/,18,贺州
2:18-11,hechi,http://hechi.cncn.com/jingdian/,18,河池
2:18-12,laibin,http://laibin.cncn.com/jingdian/,18,来宾
2:18-13,chongzuo,http://chongzuo.cncn.com/jingdian/,18,崇左
2:18-14,guilin,http://guilin.cncn.com/jingdian/lijiang/,18,桂林市漓江景区
2:20-0,wuhan,http://wuhan.cncn.com/jingdian/,20,武汉
2:20-1,huangshi,http://huangshi.cncn.com/jingdian/,20,黄石
2:20-2,shiyan,http://shiyan.cncn.com/jingdian/,20,十堰
2:20-3,yichang,http://yichang.cncn.com/jingdian/,20,宜昌
2:20-4,xiangfan,http://xiangfan.cncn.com/jingdian/,20,襄樊
2:17-0,guangzhou,http://guangzhou.cncn.com/jingdian/,17,广州
2:17-1,shaoguan,http://shaoguan.cncn.com/jingdian/,17,韶关
2:17-2,shenzhen,http://shenzhen.cncn.com/jingdian/,17,深圳
2:17-3,zhuhai,http://zhuhai.cncn.com/jingdian/,17,珠海
2:20-5,ezhou,http://ezhou.cncn.com/jingdian/,20,鄂州
2:20-6,jingmen,http://jingmen.cncn.com/jingdian/,20,荆门
2:20-7,xiaogan,http://xiaogan.cncn.com/jingdian/,20,孝感
2:20-8,jingzhou,http://jingzhou.cncn.com/jingdian/,20,荆州
2:17-4,shantou,http://shantou.cncn.com/jingdian/,17,汕头
2:17-5,foshan,http://foshan.cncn.com/jingdian/,17,佛山
2:17-6,jiangmen,http://jiangmen.cncn.com/jingdian/,17,江门
2:17-7,zhanjiang,http://zhanjiang.cncn.com/jingdian/,17,湛江
2:20-9,huanggang,http://huanggang.cncn.com/jingdian/,20,黄冈
2:20-10,xianning,http://xianning.cncn.com/jingdian/,20,咸宁
2:20-11,suizhou,http://suizhou.cncn.com/jingdian/,20,随州
2:20-12,enshi,http://enshi.cncn.com/jingdian/,20,恩施
2:17-8,maoming,http://maoming.cncn.com/jingdian/,17,茂名
2:17-9,zhaoqing,http://zhaoqing.cncn.com/jingdian/,17,肇庆
2:17-10,huizhou,http://huizhou.cncn.com/jingdian/,17,惠州
2:17-11,meizhou,http://meizhou.cncn.com/jingdian/,17,梅州
2:20-13,xiantao,http://xiantao.cncn.com/jingdian/,20,仙桃
2:20-14,qianjiang,http://qianjiang.cncn.com/jingdian/,20,潜江
2:20-15,tianmen,http://tianmen.cncn.com/jingdian/,20,天门
2:20-16,shennongjia,http://shennongjia.cncn.com/jingdian/,20,神农架
2:17-12,shanwei,http://shanwei.cncn.com/jingdian/,17,汕尾
2:17-13,heyuan,http://heyuan.cncn.com/jingdian/,17,河源
2:17-14,yangjiang,http://yangjiang.cncn.com/jingdian/,17,阳江
2:17-15,qingyuan,http://qingyuan.cncn.com/jingdian/,17,清远
2:20-17,wuhan,http://wuhan.cncn.com/jingdian/huanghelou/,20,武汉黄鹤楼
2:17-16,dongguan,http://dongguan.cncn.com/jingdian/,17,东莞
2:17-17,zhongshan,http://zhongshan.cncn.com/jingdian/,17,中山
2:17-18,chaozhou,http://chaozhou.cncn.com/jingdian/,17,潮州
2:17-19,jieyang,http://jieyang.cncn.com/jingdian/,17,揭阳
2:17-20,yunfu,http://yunfu.cncn.com/jingdian/,17,云浮
2:17-21,guangzhou,http://guangzhou.cncn.com/jingdian/dazhonglou/,17,大钟楼
2:29-0,yinchuan,http://yinchuan.cncn.com/jingdian/,29,银川
2:29-1,shizuishan,http://shizuishan.cncn.com/jingdian/,29,石嘴山
2:29-2,wuzhong,http://wuzhong.cncn.com/jingdian/,29,吴忠
2:29-3,guyuan,http://guyuan.cncn.com/jingdian/,29,固原
2:29-4,zhongwei,http://zhongwei.cncn.com/jingdian/,29,中卫
2:29-5,yinchuan,http://yinchuan.cncn.com/jingdian/xixiawangling/,29,宁夏西夏王陵
2:19-0,haikou,http://haikou.cncn.com/jingdian/,19,海口
2:19-1,sanya,http://sanya.cncn.com/jingdian/,19,三亚
2:19-2,sansha,http://sansha.cncn.com/jingdian/,19,三沙
2:19-3,wuzhishan,http://wuzhishan.cncn.com/jingdian/,19,五指山
2:19-4,qionghai,http://qionghai.cncn.com/jingdian/,19,琼海
2:19-5,danzhou,http://danzhou.cncn.com/jingdian/,19,儋州
2:19-6,wenchang,http://wenchang.cncn.com/jingdian/,19,文昌
2:19-7,wanning,http://wanning.cncn.com/jingdian/,19,万宁
2:19-8,dongfang,http://dongfang.cncn.com/jingdian/,19,东方
2:19-9,dingan,http://dingan.cncn.com/jingdian/,19,定安
2:19-10,tunchang,http://tunchang.cncn.com/jingdian/,19,屯昌
2:19-11,chengmai,http://chengmai.cncn.com/jingdian/,19,澄迈
2:19-12,lingao,http://lingao.cncn.com/jingdian/,19,临高
2:19-13,baisha,http://baisha.cncn.com/jingdian/,19,白沙
2:19-14,changjiang,http://changjiang.cncn.com/jingdian/,19,昌江
2:19-15,ledong,http://ledong.cncn.com/jingdian/,19,乐东
2:19-16,lingshui,http://lingshui.cncn.com/jingdian/,19,陵水
2:19-17,baoting,http://baoting.cncn.com/jingdian/,19,保亭
2:19-18,qiongzhong,http://qiongzhong.cncn.com/jingdian/,19,琼中
2:19-19,sanya,http://sanya.cncn.com/jingdian/daxiaodongtian/,19,三亚大小洞天
layer,title,link,parent,desc
1:0,fujian,http://fujian.cncn.com/jingdian/,-1,福建
1:1,taiwan,http://taiwan.cncn.com/jingdian/,-1,台湾
1:2,zhejiang,http://zhejiang.cncn.com/jingdian/,-1,浙江
1:3,shanghai,http://shanghai.cncn.com/jingdian/,-1,上海
1:4,shandong,http://shandong.cncn.com/jingdian/,-1,山东
1:5,jiangsu,http://jiangsu.cncn.com/jingdian/,-1,江苏
1:6,anhui,http://anhui.cncn.com/jingdian/,-1,安徽
1:7,jiangxi,http://jiangxi.cncn.com/jingdian/,-1,江西
1:8,heilongjiang,http://heilongjiang.cncn.com/jingdian/,-1,黑龙江
1:9,jilin,http://jilin.cncn.com/jingdian/,-1,吉林
1:10,liaoning,http://liaoning.cncn.com/jingdian/,-1,辽宁
1:11,beijing,http://beijing.cncn.com/jingdian/,-1,北京
1:12,tianjin,http://tianjin.cncn.com/jingdian/,-1,天津
1:13,hebei,http://hebei.cncn.com/jingdian/,-1,河北
1:14,henan,http://henan.cncn.com/jingdian/,-1,河南
1:15,shanxi,http://shanxi.cncn.com/jingdian/,-1,山西
1:16,neimenggu,http://neimenggu.cncn.com/jingdian/,-1,内蒙古
1:17,guangdong,http://guangdong.cncn.com/jingdian/,-1,广东
1:18,guangxi,http://guangxi.cncn.com/jingdian/,-1,广西
1:19,hainan,http://hainan.cncn.com/jingdian/,-1,海南
1:20,hubei,http://hubei.cncn.com/jingdian/,-1,湖北
1:21,hunan,http://hunan.cncn.com/jingdian/,-1,湖南
1:22,sichuan,http://sichuan.cncn.com/jingdian/,-1,四川
1:23,chongqing,http://chongqing.cncn.com/jingdian/,-1,重庆
1:24,guizhou,http://guizhou.cncn.com/jingdian/,-1,贵州
1:25,yunnan,http://yunnan.cncn.com/jingdian/,-1,云南
1:26,xizang,http://xizang.cncn.com/jingdian/,-1,西藏
1:27,shannxi,http://shannxi.cncn.com/jingdian/,-1,陕西
1:28,gansu,http://gansu.cncn.com/jingdian/,-1,甘肃
1:29,ningxia,http://ningxia.cncn.com/jingdian/,-1,宁夏
1:30,qinghai,http://qinghai.cncn.com/jingdian/,-1,青海
1:31,xinjiang,http://xinjiang.cncn.com/jingdian/,-1,新疆
1:32,hongkong,http://hongkong.cncn.com/jingdian/,-1,香港
1:33,macao,http://macao.cncn.com/jingdian/,-1,澳门
2:33-0,hongkong,http://hongkong.cncn.com/jingdian/,33,香港旅游景点
2:33-1,taiwan,http://taiwan.cncn.com/jingdian/,33,台湾旅游景点
2:33-2,macao,http://macao.cncn.com/jingdian/,33,澳门旅游景点
2:33-3,macao,http://macao.cncn.com/jingdian/dasanba/,33,大三巴牌坊
2:30-0,xining,http://xining.cncn.com/jingdian/,30,西宁
2:30-1,haidong,http://haidong.cncn.com/jingdian/,30,海东
2:30-2,haibei,http://haibei.cncn.com/jingdian/,30,海北
2:30-3,huangnan,http://huangnan.cncn.com/jingdian/,30,黄南
2:30-4,hainanzhou,http://hainanzhou.cncn.com/jingdian/,30,海南州
2:21-0,changsha,http://changsha.cncn.com/jingdian/,21,长沙
2:21-1,zhuzhou,http://zhuzhou.cncn.com/jingdian/,21,株洲
2:21-2,xiangtan,http://xiangtan.cncn.com/jingdian/,21,湘潭
2:21-3,hengyang,http://hengyang.cncn.com/jingdian/,21,衡阳
2:22-0,chengdu,http://chengdu.cncn.com/jingdian/,22,成都
2:22-1,zigong,http://zigong.cncn.com/jingdian/,22,自贡
2:22-2,panzhihua,http://panzhihua.cncn.com/jingdian/,22,攀枝花
2:22-3,luzhou,http://luzhou.cncn.com/jingdian/,22,泸州
2:30-5,golog,http://golog.cncn.com/jingdian/,30,果洛
2:30-6,yushu,http://yushu.cncn.com/jingdian/,30,玉树
2:30-7,haixi,http://haixi.cncn.com/jingdian/,30,海西
2:21-4,shaoyang,http://shaoyang.cncn.com/jingdian/,21,邵阳
2:21-5,yueyang,http://yueyang.cncn.com/jingdian/,21,岳阳
2:21-6,changde,http://changde.cncn.com/jingdian/,21,常德
2:21-7,zhangjiajie,http://zhangjiajie.cncn.com/jingdian/,21,张家界
2:22-4,deyang,http://deyang.cncn.com/jingdian/,22,德阳
2:22-5,mianyang,http://mianyang.cncn.com/jingdian/,22,绵阳
2:22-6,guangyuan,http://guangyuan.cncn.com/jingdian/,22,广元
2:22-7,suining,http://suining.cncn.com/jingdian/,22,遂宁
2:30-8,xining,http://xining.cncn.com/jingdian/qinghaihu/,30,青海省青海湖景区
2:21-8,yiyang,http://yiyang.cncn.com/jingdian/,21,益阳
2:22-8,neijiang,http://neijiang.cncn.com/jingdian/,22,内江
2:22-9,leshan,http://leshan.cncn.com/jingdian/,22,乐山
2:22-10,nanchong,http://nanchong.cncn.com/jingdian/,22,南充
2:22-11,meishan,http://meishan.cncn.com/jingdian/,22,眉山
2:21-9,chenzhou,http://chenzhou.cncn.com/jingdian/,21,郴州
2:22-12,yibin,http://yibin.cncn.com/jingdian/,22,宜宾
2:22-13,guangan,http://guangan.cncn.com/jingdian/,22,广安
2:22-14,dazhou,http://dazhou.cncn.com/jingdian/,22,达州
2:22-15,yaan,http://yaan.cncn.com/jingdian/,22,雅安
2:29-0,yinchuan,http://yinchuan.cncn.com/jingdian/,29,银川
2:29-1,shizuishan,http://shizuishan.cncn.com/jingdian/,29,石嘴山
2:29-2,wuzhong,http://wuzhong.cncn.com/jingdian/,29,吴忠
2:29-3,guyuan,http://guyuan.cncn.com/jingdian/,29,固原
2:21-10,yongzhou,http://yongzhou.cncn.com/jingdian/,21,永州
2:21-11,huaihua,http://huaihua.cncn.com/jingdian/,21,怀化
2:21-12,loudi,http://loudi.cncn.com/jingdian/,21,娄底
2:21-13,xiangxi,http://xiangxi.cncn.com/jingdian/,21,湘西
2:22-16,bazhong,http://bazhong.cncn.com/jingdian/,22,巴中
2:22-17,ziyang,http://ziyang.cncn.com/jingdian/,22,资阳
2:22-18,aba,http://aba.cncn.com/jingdian/,22,阿坝
2:29-4,zhongwei,http://zhongwei.cncn.com/jingdian/,29,中卫
2:29-5,yinchuan,http://yinchuan.cncn.com/jingdian/xixiawangling/,29,宁夏西夏王陵
2:21-14,zhangjiajie,http://zhangjiajie.cncn.com/jingdian/zhangjiajie/,21,张家界国家森林公园
2:22-19,ganzi,http://ganzi.cncn.com/jingdian/,22,甘孜
2:22-20,liangshan,http://liangshan.cncn.com/jingdian/,22,凉山
2:22-21,aba,http://aba.cncn.com/jingdian/jiuzhaigou/,22,四川九寨沟
2:17-0,guangzhou,http://guangzhou.cncn.com/jingdian/,17,广州
2:17-1,shaoguan,http://shaoguan.cncn.com/jingdian/,17,韶关
2:17-2,shenzhen,http://shenzhen.cncn.com/jingdian/,17,深圳
2:17-3,zhuhai,http://zhuhai.cncn.com/jingdian/,17,珠海
2:17-4,shantou,http://shantou.cncn.com/jingdian/,17,汕头
2:17-5,foshan,http://foshan.cncn.com/jingdian/,17,佛山
2:17-6,jiangmen,http://jiangmen.cncn.com/jingdian/,17,江门
2:17-7,zhanjiang,http://zhanjiang.cncn.com/jingdian/,17,湛江
2:17-8,maoming,http://maoming.cncn.com/jingdian/,17,茂名
2:17-9,zhaoqing,http://zhaoqing.cncn.com/jingdian/,17,肇庆
2:17-10,huizhou,http://huizhou.cncn.com/jingdian/,17,惠州
2:17-11,meizhou,http://meizhou.cncn.com/jingdian/,17,梅州
2:17-12,shanwei,http://shanwei.cncn.com/jingdian/,17,汕尾
2:17-13,heyuan,http://heyuan.cncn.com/jingdian/,17,河源
2:17-14,yangjiang,http://yangjiang.cncn.com/jingdian/,17,阳江
2:17-15,qingyuan,http://qingyuan.cncn.com/jingdian/,17,清远
2:17-16,dongguan,http://dongguan.cncn.com/jingdian/,17,东莞
2:17-17,zhongshan,http://zhongshan.cncn.com/jingdian/,17,中山
2:17-18,chaozhou,http://chaozhou.cncn.com/jingdian/,17,潮州
2:17-19,jieyang,http://jieyang.cncn.com/jingdian/,17,揭阳
2:17-20,yunfu,http://yunfu.cncn.com/jingdian/,17,云浮
2:17-21,guangzhou,http://guangzhou.cncn.com/jingdian/dazhonglou/,17,大钟楼
2:macao-0,hongkong,http://hongkong.cncn.com/jingdian/,macao,香港旅游景点
2:macao-1,taiwan,http://taiwan.cncn.com/jingdian/,macao,台湾旅游景点
2:macao-2,macao,http://macao.cncn.com/jingdian/,macao,澳门旅游景点
2:macao-3,hongkong,http://hongkong.cncn.com/jingdian/haiyanggongyuan/,macao,香港海洋公园
2:25-0,kunming,http://kunming.cncn.com/jingdian/,25,昆明
2:25-1,qujing,http://qujing.cncn.com/jingdian/,25,曲靖
2:25-2,yuxi,http://yuxi.cncn.com/jingdian/,25,玉溪
2:25-3,baoshan,http://baoshan.cncn.com/jingdian/,25,保山
2:31-0,urumqi,http://urumqi.cncn.com/jingdian/,31,乌鲁木齐
2:31-1,karamay,http://karamay.cncn.com/jingdian/,31,克拉玛依
2:25-4,zhaotong,http://zhaotong.cncn.com/jingdian/,25,昭通
2:25-5,lijiang,http://lijiang.cncn.com/jingdian/,25,丽江
2:25-6,puer,http://puer.cncn.com/jingdian/,25,普洱
2:26-0,lhasa,http://lhasa.cncn.com/jingdian/,26,拉萨
2:26-1,changdu,http://changdu.cncn.com/jingdian/,26,昌都
2:26-2,shannan,http://shannan.cncn.com/jingdian/,26,山南
2:26-3,xigaze,http://xigaze.cncn.com/jingdian/,26,日喀则
2:31-2,tulufan,http://tulufan.cncn.com/jingdian/,31,吐鲁番
2:31-3,hami,http://hami.cncn.com/jingdian/,31,哈密
2:31-4,changji,http://changji.cncn.com/jingdian/,31,昌吉
